CODMU	MUNICIPIO	CODPROV
260048	Ajamil de Cameros	26
489119	Ajangiz	48
450015	Ajofrín	45
440064	Alacón	44
500074	Aladrén	50
470040	Alaejos	47
500080	Alagón	50
109037	Alagón del Río	10
070027	Alaior	07
210010	Alájar	21
380033	Alajeró	38
290017	Alameda	29
370055	Alameda de Gardón, La	37
450020	Alameda de la Sagra	45
280035	Alameda del Valle	28
180021	Alamedilla	18
370068	Alamedilla, La	37
130034	Alamillo	13
190045	Alaminos	19
280040	Álamo, El	28
250045	Alamús, Els	25
060042	Alange	06
410021	Alanís	41
460057	Alaquàs	46
340053	Alar del Rey	34
370074	Alaraz	37
500093	Alarba	50
160035	Alarcón	16
190058	Alarilla	19
070012	Alaró	07
250058	Alàs i Cerc	25
020024	Alatoz	02
440070	Alba	44
340066	Alba de Cerrato	34
370080	Alba de Tormes	37
370093	Alba de Yeltes	37
020030	Albacete	02
250061	Albagés, L'	25
460060	Albaida	46
410037	Albaida del Aljarafe	41
460076	Albal	46
100073	Albalá	10
130049	Albaladejo	13
160040	Albaladejo del Cuende	16
460082	Albalat de la Ribera	46
460095	Albalat dels Sorells	46
460109	Albalat dels Tarongers	46
220073	Albalate de Cinca	22
160053	Albalate de las Nogueras	16
190061	Albalate de Zorita	19
440086	Albalate del Arzobispo	44
220089	Albalatillo	22
040046	Albanchez	04
230011	Albanchez de Mágina	23
170031	Albanyà	17
190077	Albares	19
440099	Albarracín	44
450036	Albarreal de Tajo	45
020045	Albatana	02
250077	Albatàrrec	25
030054	Albatera	03
220092	Albelda	22
260051	Albelda de Iregua	26
160066	Albendea	16
190083	Albendiego	19
440103	Albentosa	44
160072	Alberca de Záncara, La	16
370107	Alberca, La	37
370114	Alberguería de Argañán, La	37
460116	Alberic	46
260064	Alberite	26
500107	Alberite de San Juan	50
220113	Albero Alto	22
220128	Albero Bajo	22
220134	Alberuela de Tubo	22
250083	Albesa	25
500114	Albeta	50
250096	Albi, L'	25
090098	Albillos	09
430022	Albinyana	43
430038	Albiol, L'	43
200049	Albiztur	20
120038	Albocàsser	12
040059	Alboloduy	04
180037	Albolote	18
180042	Albondón	18
170046	Albons	17
460121	Alborache	46
460137	Alboraia/Alboraya	46
020058	Alborea	02
500129	Alborge	50
050052	Albornos	05
040062	Albox	04
300047	Albudeite	30
060055	Albuera, La	06
460142	Albuixech	46
180055	Albuñán	18
180068	Albuñol	18
180074	Albuñuelas	18
060068	Alburquerque	06
450041	Alcabón	45
020061	Alcadozo	02
440110	Alcaine	44
500135	Alcalá de Ebro	50
410042	Alcalá de Guadaíra	41
220149	Alcalá de Gurrea	22
280053	Alcalá de Henares	28
440125	Alcalá de la Selva	44
160088	Alcalá de la Vega	16
110012	Alcalá de los Gazules	11
500140	Alcalá de Moncayo	50
120043	Alcalà de Xivert	12
020077	Alcalá del Júcar	02
220152	Alcalá del Obispo	22
410055	Alcalá del Río	41
110027	Alcalá del Valle	11
230026	Alcalá la Real	23
030067	Alcalalí	03
220165	Alcampell	22
260070	Alcanadre	26
430043	Alcanar	43
250100	Alcanó	25
100089	Alcántara	10
300050	Alcantarilla	30
460168	Alcàntera de Xúquer	46
160091	Alcantud	16
490034	Alcañices	49
440131	Alcañiz	44
450054	Alcañizo	45
140039	Alcaracejos	14
020083	Alcaraz	02
250117	Alcarràs	25
460155	Alcàsser	46
290022	Alcaucín	29
230032	Alcaudete	23
450067	Alcaudete de la Jara	45
130052	Alcázar de San Juan	13
160105	Alcázar del Rey	16
470053	Alcazarén	47
309027	Alcázares, Los	30
130065	Alcoba	13
280066	Alcobendas	28
190096	Alcocer	19
030073	Alcocer de Planes	03
090102	Alcocero de Mola	09
160112	Alcohujate	16
040078	Alcolea	04
130071	Alcolea de Calatrava	13
220171	Alcolea de Cinca	22
190100	Alcolea de las Peñas	19
450073	Alcolea de Tajo	45
190117	Alcolea del Pinar	19
410068	Alcolea del Río	41
030089	Alcoleja	03
250122	Alcoletge	25
100092	Alcollarín	10
420063	Alconaba	42
370129	Alconada	37
400058	Alconada de Maderuelo	40
060074	Alconchel	06
500153	Alconchel de Ariza	50
160127	Alconchel de la Estrella	16
060080	Alconera	06
040084	Alcóntar	04
120056	Alcora, l'	12
280072	Alcorcón	28
440146	Alcorisa	44
190138	Alcoroches	19
430056	Alcover	43
030092	Alcoy/Alcoi	03
220187	Alcubierre	22
420079	Alcubilla de Avellaneda	42
420085	Alcubilla de las Peñas	42
490049	Alcubilla de Nogales	49
130087	Alcubillas	13
460180	Alcublas	46
070033	Alcúdia	07
460207	Alcúdia de Crespins, l'	46
040097	Alcudia de Monteagud	04
120069	Alcudia de Veo	12
460193	Alcúdia, l'	46
100106	Alcuéscar	10
460214	Aldaia	46
470066	Aldea de San Miguel	47
350206	Aldea de San Nicolás, La	35
100128	Aldea del Cano	10
280088	Aldea del Fresno	28
370153	Aldea del Obispo	37
100134	Aldea del Obispo, La	10
130090	Aldea del Rey	13
450089	Aldea en Cabo	45
439044	Aldea, L'	43
400122	Aldea Real	40
100113	Aldeacentenera	10
370135	Aldeacipreste	37
370140	Aldeadávila de la Ribera	37
420098	Aldealafuente	42
400061	Aldealcorvo	40
370166	Aldealengua	37
400077	Aldealengua de Pedraza	40
400083	Aldealengua de Santa María	40
420102	Aldealices	42
420119	Aldealpozo	42
420124	Aldealseñor	42
470072	Aldeamayor de San Martín	47
450092	Aldeanueva de Barbarroya	45
260086	Aldeanueva de Ebro	26
370172	Aldeanueva de Figueroa	37
190156	Aldeanueva de Guadalajara	19
400096	Aldeanueva de la Serrezuela	40
370188	Aldeanueva de la Sierra	37
100149	Aldeanueva de la Vera	10
450106	Aldeanueva de San Bartolomé	45
050071	Aldeanueva de Santa Cruz	05
100152	Aldeanueva del Camino	10
400100	Aldeanueva del Codonal	40
230047	Aldeaquemada	23
370191	Aldearrodrigo	37
370205	Aldearrubia	37
050087	Aldeaseca	05
370212	Aldeaseca de Alba	37
370227	Aldeaseca de la Frontera	37
400138	Aldeasoña	40
370233	Aldeatejada	37
370248	Aldeavieja de Tormes	37
400143	Aldehorno	40
100165	Aldehuela de Jerte	10
370251	Aldehuela de la Bóveda	37
500166	Aldehuela de Liestos	50
420130	Aldehuela de Periáñez	42
370264	Aldehuela de Yeltes	37
400156	Aldehuela del Codonal	40
050104	Aldehuela, La	05
420145	Aldehuelas, Las	42
180107	Aldeire	18
400169	Aldeonte	40
430069	Aldover	43
300063	Aledo	30
200052	Alegia	20
010014	Alegría-Dulantzi	01
430075	Aleixar, L'	43
080039	Alella	08
420158	Alentisque	42
220190	Alerre	22
260099	Alesanco	26
260103	Alesón	26
180114	Alfacar	18
460229	Alfafar	46
030106	Alfafara	03
500172	Alfajarín	50
440162	Alfambra	44
500188	Alfamén	50
220204	Alfántega	22
430081	Alfara de Carles	43
460240	Alfara de la Baronia	46
460253	Alfara del Patriarca	46
490052	Alfaraz de Sayago	49
290038	Alfarnate	29
290043	Alfarnatejo	29
260110	Alfaro	26
460266	Alfarp	46
250138	Alfarràs	25
460272	Alfarrasí	46
030113	Alfàs del Pi, l'	03
460235	Alfauir	46
250143	Alfés	25
120075	Alfondeguilla	12
430094	Alforja	43
500191	Alforque	50
270023	Alfoz	27
090119	Alfoz de Bricia	09
390015	Alfoz de Lloredo	39
099070	Alfoz de Quintanadueñas	09
090124	Alfoz de Santa Gadea	09
410074	Algaba, La	41
240021	Algadefe	24
070048	Algaida	07
410080	Algámitas	41
110033	Algar	11
190169	Algar de Mesa	19
460288	Algar de Palancia	46
180129	Algarinejo	18
160133	Algarra	16
290056	Algarrobo	29
290069	Algatocín	29
110048	Algeciras	11
460291	Algemesí	46
250156	Algerri	25
280091	Algete	28
460305	Algímia d'Alfara	46
120081	Algimia de Almonacid	12
460312	Alginet	46
110051	Algodonales	11
490065	Algodre	49
190175	Algora	19
030128	Algorfa	03
250169	Alguaire	25
300079	Alguazas	30
030134	Algueña	03
040101	Alhabia	04
040118	Alhama de Almería	04
500205	Alhama de Aragón	50
180135	Alhama de Granada	18
300085	Alhama de Murcia	30
130104	Alhambra	13
290075	Alhaurín de la Torre	29
290081	Alhaurín el Grande	29
180140	Alhendín	18
190181	Alhóndiga	19
100171	Alía	10
440178	Aliaga	44
160148	Aliaguilla	16
030149	Alicante/Alacant	03
040123	Alicún	04
180153	Alicún de Ortega	18
240037	Alija del Infantado	24
250175	Alins	25
430108	Alió	43
190194	Alique	19
100187	Aliseda	10
420161	Aliud	42
210025	Aljaraque	21
060093	Aljucén	06
200065	Alkiza	20
330019	Allande	33
320013	Allariz	32
440218	Allepuz	44
330024	Aller	33
310116	Allín/Allin	31
310121	Allo	31
440223	Alloza	44
440239	Allueva	44
250194	Almacelles	25
290094	Almáchar	29
130111	Almadén	13
410093	Almadén de la Plata	41
130126	Almadenejos	13
190208	Almadrones	19
130132	Almagro	13
420177	Almajano	42
420183	Almaluez	42
020096	Almansa	02
240042	Almanza	24
100190	Almaraz	10
490071	Almaraz de Duero	49
160151	Almarcha, La	16
290108	Almargen	29
420196	Almarza	42
260125	Almarza de Cameros	26
460327	Almàssera	46
120094	Almassora	12
250208	Almatret	25
420200	Almazán	42
420217	Almazul	42
120108	Almedíjar	12
130147	Almedina	13
140044	Almedinilla	14
180166	Almegíjar	18
490087	Almeida de Sayago	49
250215	Almenar	25
420222	Almenar de Soria	42
120115	Almenara	12
470088	Almenara de Adaja	47
370270	Almenara de Tormes	37
370286	Almendra	37
060107	Almendral	06
450113	Almendral de la Cañada	45
060114	Almendralejo	06
210031	Almendro, El	21
160164	Almendros	16
410107	Almensilla	41
040139	Almería	04
460333	Almiserà	46
500212	Almochuel	50
040144	Almócita	04
130150	Almodóvar del Campo	13
160170	Almodóvar del Pinar	16
140057	Almodóvar del Río	14
290115	Almogía	29
190215	Almoguera	19
440184	Almohaja	44
100204	Almoharín	10
460348	Almoines	46
500227	Almolda, La	50
500233	Almonacid de la Cuba	50
500248	Almonacid de la Sierra	50
450128	Almonacid de Toledo	45
190220	Almonacid de Zorita	19
160186	Almonacid del Marquesado	16
210046	Almonaster la Real	21
210059	Almonte	21
030152	Almoradí	03
450134	Almorox	45
430115	Almoster	43
030165	Almudaina	03
220211	Almudévar	22
500251	Almunia de Doña Godina, La	50
220226	Almunia de San Juan	22
220232	Almuniente	22
180172	Almuñécar	18
130163	Almuradiel	13
460351	Almussafes	46
440197	Alobras	44
190236	Alocén	19
489124	Alonsotegi	48
290120	Álora	29
250220	Alòs de Balaguer	25
210062	Alosno	21
190241	Alovera	19
290136	Alozaina	29
170062	Alp	17
290141	Alpandeire	29
420238	Alpanseque	42
500264	Alpartir	50
280105	Alpedrete	28
080044	Alpens	08
440201	Alpeñés	44
020100	Alpera	02
250236	Alpicat	25
460364	Alpuente	46
189043	Alpujarra de la Sierra	18
030171	Alqueria d'Asnar, l'	03
460370	Alqueria de la Comtessa, l'	46
129018	Alqueries, les/Alquerías del Niño Perdido	12
220247	Alquézar	22
180188	Alquife	18
040157	Alsodux	04
250241	Alt Àneu	25
090130	Altable	09
430120	Altafulla	43
160199	Altarejos	16
030187	Altea	03
220250	Altorricón	22
090145	Altos, Los	09
310109	Altsasu/Alsasua	31
120120	Altura	12
209066	Altzaga	20
200071	Altzo	20
190273	Alustante	19
460174	Alzira	46
050126	Amavida	05
340091	Amayuelas de Arriba	34
500270	Ambel	50
280112	Ambite	28
170078	Amer	17
150026	Ames	15
310137	Améscoa Baja	31
430136	Ametlla de Mar, L'	43
080057	Ametlla del Vallès, L'	08
090161	Ameyugo	09
200087	Amezketa	20
330030	Amieva	33
320028	Amoeiro	32
480031	Amorebieta-Etxano	48
480046	Amoroto	48
439060	Ampolla, L'	43
430141	Amposta	43
340105	Ampudia	34
390020	Ampuero	39
010029	Amurrio	01
340112	Amusco	34
470091	Amusquillo	47
440244	Anadón	44
400175	Anaya	40
370299	Anaya de Alba	37
280127	Anchuelo	28
130179	Anchuras	13
310142	Ancín/Antzin	31
490090	Andavías	49
460386	Andilla	46
200090	Andoain	20
440257	Andorra	44
310155	Andosilla	31
070051	Andratx	07
230050	Andújar	23
500286	Anento	50
170084	Anglès	17
250273	Anglesola	25
190313	Angón	19
260131	Anguciana	26
220279	Angüés	22
260146	Anguiano	26
190328	Anguita	19
090177	Anguix	09
390036	Anievas	39
500299	Aniñón	50
460399	Anna	46
200104	Anoeta	20
190334	Anquela del Ducado	19
190349	Anquela del Pedregal	19
220285	Ansó	22
310168	Ansoáin/Antsoain	31
040160	Antas	04
270039	Antas de Ulla	27
460403	Antella	46
290154	Antequera	29
350038	Antigua	35
240055	Antigua, La	24
340127	Antigüedad	34
220298	Antillón	22
200111	Antzuola	20
310174	Anue	31
010493	Añana	01
400181	Añe	40
500303	Añón de Moncayo	50
140060	Añora	14
310180	Añorbe	31
450149	Añover de Tajo	45
370303	Añover de Tormes	37
310193	Aoiz/Agoitz	31
370310	Arabayona de Mógica	37
210078	Aracena	21
380048	Arafo	38
220324	Aragüés del Puerto	22
410114	Arahal	41
400194	Arahuetes	40
310207	Araitz	31
480059	Arakaldo	48
310253	Arakil	31
200126	Arama	20
010035	Aramaio	01
310214	Aranarache/Aranaratxe	31
420243	Arancón	42
090183	Aranda de Duero	09
500310	Aranda de Moncayo	50
500325	Arándiga	50
090196	Arandilla	09
160203	Arandilla del Arroyo	16
150032	Aranga	15
310235	Aranguren	31
280133	Aranjuez	28
310240	Arano	31
310229	Arantza	31
480062	Arantzazu	48
190365	Aranzueque	19
120136	Arañuel	12
370325	Arapiles	37
310266	Aras	31
460410	Aras de los Olmos	46
090200	Arauzo de Miel	09
090217	Arauzo de Salce	09
090222	Arauzo de Torre	09
190371	Arbancón	19
250292	Arbeca	25
190387	Arbeteta	19
310272	Arbizu	31
360010	Arbo	36
430167	Arboç, L'	43
040176	Arboleas	04
430154	Arbolí	43
170097	Arbúcies	17
169054	Arcas	16
310288	Arce/Artzi	31
370331	Arcediano	37
490104	Arcenillas	49
300098	Archena	30
290167	Árchez	29
290173	Archidona	29
450152	Arcicóllar	45
370346	Arco, El	37
340151	Arconada	34
400208	Arcones	40
090238	Arcos	09
420256	Arcos de Jalón	42
110064	Arcos de la Frontera	11
490111	Arcos de la Polvorosa	49
160225	Arcos de la Sierra	16
440260	Arcos de las Salinas	44
310291	Arcos, Los	31
290189	Ardales	29
500331	Ardisa	50
240068	Ardón	24
480932	Areatza	48
310305	Arellano	31
220358	Arén	22
050132	Arenal, El	05
139035	Arenales de San Gregorio	13
290192	Arenas	29
390041	Arenas de Iguña	39
130185	Arenas de San Juan	13
050147	Arenas de San Pedro	05
180205	Arenas del Rey	18
420269	Arenillas	42
090243	Arenillas de Riopisuerga	09
440276	Arens de Lledó	44
080060	Arenys de Mar	08
080076	Arenys de Munt	08
260159	Arenzana de Abajo	26
260162	Arenzana de Arriba	26
150047	Ares	15
120141	Ares del Maestrat	12
310312	Areso	31
200132	Aretxabaleta	20
050150	Arevalillo	05
400215	Arevalillo de Cega	40
050163	Arévalo	05
420275	Arévalo de la Sierra	42
130198	Argamasilla de Alba	13
130202	Argamasilla de Calatrava	13
280148	Arganda del Rey	28
240074	Arganza	24
490126	Argañín	49
220361	Argavieso	22
190390	Argecilla	19
170101	Argelaguer	17
120154	Argelita	12
080082	Argençola	08
440282	Argente	44
430173	Argentera, L'	43
080095	Argentona	08
450165	Argés	45
390054	Argoños	39
310327	Arguedas	31
220377	Arguis	22
160246	Arguisuelas	16
490132	Argujillo	49
310333	Aria	31
079013	Ariany	07
310348	Aribe	31
380051	Arico	38
090256	Arija	09
440295	Ariño	44
500346	Ariza	50
230063	Arjona	23
230079	Arjonilla	23
090269	Arlanzón	09
190404	Armallones	19
310351	Armañanzas	31
170118	Armentera, L'	17
370359	Armenteros	37
180212	Armilla	18
010066	Armiñón	01
400220	Armuña	40
040182	Armuña de Almanzora	04
190411	Armuña de Tajuña	19
260178	Arnedillo	26
260184	Arnedo	26
430189	Arnes	43
320034	Arnoia, A	32
390067	Arnuero	39
210084	Aroche	21
380064	Arona	38
490147	Arquillinos	49
230085	Arquillos	23
490150	Arrabalde	49
010376	Arraia-Maeztu	01
160259	Arrancacepas	16
480097	Arrankudiaga	48
200551	Arrasate/Mondragón	20
489145	Arratzu	48
010088	Arratzua-Ubarrundia	01
090275	Arraya de Oca	09
350043	Arrecife	35
390073	Arredondo	39
250313	Arres	25
290206	Arriate	29
480101	Arrieta	48
480118	Arrigorriaga	48
130219	Arroba de los Montes	13
310364	Arróniz	31
470105	Arroyo de la Encomienda	47
100211	Arroyo de la Luz	10
190426	Arroyo de las Fraguas	19
060129	Arroyo de San Serván	06
239051	Arroyo del Ojanco	23
100232	Arroyomolinos	10
280151	Arroyomolinos	28
100226	Arroyomolinos de la Vera	10
210097	Arroyomolinos de León	21
310370	Arruazu	31
260197	Arrúbal	26
250328	Arsèguel	25
070064	Artà	07
310386	Artajona	31
120167	Artana	12
310399	Artazu	31
480237	Artea	48
150050	Arteixo	15
350056	Artenara	35
080109	Artés	08
250334	Artesa de Lleida	25
250349	Artesa de Segre	25
500359	Artieda	50
480084	Artzentales	48
010040	Artziniega	01
350069	Arucas	35
150063	Arzúa	15
430192	Ascó	43
500362	Asín	50
250365	Aspa	25
490163	Aspariegos	49
010091	Asparrena	01
030190	Aspe	03
200147	Asteasu	20
209035	Astigarraga	20
390089	Astillero, El	39
240080	Astorga	24
340170	Astudillo	34
490179	Asturianos	49
290213	Atajate	29
060135	Atalaya	06
160262	Atalaya del Cañavate	16
370378	Atalaya, La	37
190432	Atanzón	19
090294	Atapuerca	09
470112	Ataquines	47
180227	Atarfe	18
200150	Ataun	20
280164	Atazar, El	28
500378	Atea	50
500384	Ateca	50
310403	Atez/Atetz	31
190447	Atienza	19
480911	Atxondo	48
460039	Atzeneta d'Albaida	46
120017	Atzeneta del Maestrat	12
030015	Atzúbia, l'	03
480708	Aulesti	48
190450	Auñón	19
310581	Auritz/Burguete	31
260201	Ausejo	26
420281	Ausejo de la Sierra	42
090308	Ausines, Los	09
340186	Autilla del Pino	34
340199	Autillo de Campos	34
260218	Autol	26
050179	Aveinte	05
050185	Avellaneda	05
250371	Avellanes i Santa Linya, Les	25
090320	Avellanosa de Muñó	09
080116	Avià	08
050198	Ávila	05
330045	Avilés	33
080121	Avinyó	08
170123	Avinyonet de Puigventós	17
080137	Avinyonet del Penedès	08
320049	Avión	32
010105	Ayala/Aiara	01
210101	Ayamonte	21
310410	Ayegui/Aiegi	31
220396	Ayerbe	22
400241	Ayllón	40
020117	Ayna	02
120173	Ayódar	12
490185	Ayoó de Vidriales	49
460446	Ayora	46
340203	Ayuela	34
310425	Azagra	31
440316	Azaila	44
220400	Azanuy-Alins	22
220417	Azara	22
200179	Azkoitia	20
220422	Azlor	22
410129	Aznalcázar	41
410135	Aznalcóllar	41
260223	Azofra	26
200185	Azpeitia	20
060140	Azuaga	06
500397	Azuara	50
120189	Azuébar	12
310431	Azuelo	31
190463	Azuqueca de Henares	19
450171	Azután	45
370384	Babilafuente	37
040195	Bacares	04
060153	Badajoz	06
080155	Badalona	08
260239	Badarán	26
440321	Bádenas	44
089045	Badia del Vallès	08
410140	Badolatosa	41
500401	Badules	50
220438	Baélls	22
140076	Baena	14
230098	Baeza	23
080168	Bagà	08
440337	Báguena	44
500418	Bagüés	50
470127	Bahabón	47
090336	Bahabón de Esgueva	09
190479	Baides	19
230102	Bailén	23
220443	Bailo	22
360031	Baiona	36
250390	Baix Pallars	25
310446	Bakaiku	31
480123	Bakio	48
250404	Balaguer	25
049047	Balanegra	04
020122	Balazote	02
090341	Balbases, Los	09
240093	Balboa	24
500423	Balconchán	50
220456	Baldellou	22
270044	Baleira	27
080174	Balenyà	08
209040	Baliarrain	20
020143	Ballestero, El	02
130224	Ballesteros de Calatrava	13
220469	Ballobar	22
480904	Balmaseda	48
030204	Balones	03
020138	Balsa de Ves	02
080180	Balsareny	08
340225	Baltanás	34
320052	Baltar	32
220475	Banastás	22
320065	Bande	32
070070	Banyalbufar	07
030211	Banyeres de Mariola	03
430206	Banyeres del Penedès	43
170157	Banyoles	17
150079	Baña, A	15
260244	Bañares	26
240107	Bañeza, La	24
370397	Bañobárez	37
440342	Bañón	44
010112	Baños de Ebro/Mañueta	01
230119	Baños de la Encina	23
320071	Baños de Molgas	32
100247	Baños de Montemayor	10
260260	Baños de Río Tobía	26
260257	Baños de Rioja	26
190485	Baños de Tajo	19
090354	Baños de Valdearados	09
190498	Bañuelos	19
090367	Bañuelos de Bureba	09
340246	Baquerín de Campos	34
160278	Barajas de Melo	16
480139	Barakaldo	48
279019	Baralla	27
319019	Barañáin/Barañain	31
420294	Baraona	42
310459	Barásoain	31
320087	Barbadás	32
370401	Barbadillo	37
090373	Barbadillo de Herreros	09
090389	Barbadillo del Mercado	09
090392	Barbadillo del Pez	09
370418	Barbalos	37
310462	Barbarin	31
220481	Barbastro	22
110070	Barbate	11
250411	Barbens	25
430213	Barberà de la Conca	43
082520	Barberà del Vallès	08
500439	Bárboles	50
400254	Barbolla	40
220494	Barbués	22
220507	Barbuñales	22
420308	Barca	42
220514	Bárcabo	22
060166	Barcarrota	06
080193	Barcelona	08
340259	Bárcena de Campos	34
390092	Bárcena de Cicero	39
390106	Bárcena de Pie de Concha	39
370423	Barceo	37
160297	Barchín del Hoyo	16
470133	Barcial de la Loma	47
490198	Barcial del Barco	49
450187	Barcience	45
050219	Barco de Ávila, El	05
320090	Barco de Valdeorras, O	32
420315	Barcones	42
500444	Bardallur	50
390113	Bareyo	39
450190	Bargas	45
310478	Bargota	31
310484	Barillas	31
240114	Barjas	24
380070	Barlovento	38
250426	Baronia de Rialb, La	25
120206	Barracas	12
440355	Barrachina	44
050224	Barraco, El	05
100250	Barrado	10
020156	Barrax	02
270057	Barreiros	27
480144	Barrika	48
090413	Barrio de Muñó	09
190501	Barriopedro	19
090434	Barrios de Bureba, Los	09
090449	Barrios de Colina	09
240129	Barrios de Luna, Los	24
110086	Barrios, Los	11
360025	Barro	36
050230	Barromán	05
370444	Barruecopardo	37
340278	Barruelo de Santullán	34
470148	Barruelo del Valle	47
010133	Barrundia	01
460462	Barx	46
460459	Barxeta	46
310497	Basaburua	31
400267	Basardilla	40
480157	Basauri	48
170160	Bàscara	17
090452	Basconcillos del Tozo	09
340284	Báscones de Ojeda	34
090465	Bascuñana	09
160301	Bascuñana de San Pedro	16
250447	Bassella	25
370457	Bastida, La	37
430228	Batea	43
060172	Baterno	06
280170	Batres	28
250450	Bausen	25
040209	Bayárcal	04
040216	Bayarque	04
420320	Bayubas de Abajo	42
420336	Bayubas de Arriba	42
180233	Baza	18
310500	Baztan	31
440368	Bea	44
320104	Beade	32
160318	Beamud	16
320111	Beariz	32
210118	Beas	21
180248	Beas de Granada	18
180251	Beas de Guadix	18
230124	Beas de Segura	23
200198	Beasain	20
050245	Becedas	05
050258	Becedillas	05
440374	Beceite	44
270060	Becerreá	27
340297	Becerril de Campos	34
280186	Becerril de la Sierra	28
470151	Becilla de Valderaduey	47
040221	Bédar	04
480926	Bedia	48
239027	Bedmar y Garcíez	23
230145	Begíjar	23
270076	Begonte	27
080207	Begues	08
170139	Begur	17
311379	Beintza-Labaien	31
310517	Beire	31
040237	Beires	04
200202	Beizama	20
370460	Béjar	37
120228	Bejís	12
140082	Belalcázar	14
310522	Belascoáin	31
200219	Belauntza	20
090471	Belbimbre	09
500457	Belchite	50
370476	Beleña	37
460478	Bèlgida	46
250463	Belianes	25
160323	Belinchón	16
251706	Bellaguarda	25
170182	Bellcaire d'Empordà	17
250479	Bellcaire d'Urgell	25
250485	Bell-lloc d'Urgell	25
430234	Bellmunt del Priorat	43
250498	Bellmunt d'Urgell	25
440393	Bello	44
080214	Bellprat	08
250501	Bellpuig	25
460484	Bellreguard	46
460497	Bellús	46
430249	Bellvei	43
250518	Bellver de Cerdanya	25
250523	Bellvís	25
140095	Belmez	14
230158	Bélmez de la Moraleda	23
160339	Belmonte	16
340318	Belmonte de Campos	34
500460	Belmonte de Gracián	50
330058	Belmonte de Miranda	33
440380	Belmonte de San José	44
280199	Belmonte de Tajo	28
160344	Belmontejo	16
090487	Belorado	09
220529	Belver de Cinca	22
490202	Belver de los Montes	49
450204	Belvís de la Jara	45
100263	Belvís de Monroy	10
240140	Bembibre	24
220535	Benabarre	22
410153	Benacazón	41
290228	Benadalid	29
470164	Benafarces	47
120249	Benafer	12
120252	Benafigos	12
460500	Benagéber	46
460517	Benaguasil	46
040242	Benahadux	04
290234	Benahavís	29
290249	Benalauría	29
290252	Benalmádena	29
180270	Benalúa	18
180286	Benalúa de las Villas	18
119013	Benalup-Casas Viejas	11
290265	Benamargosa	29
180299	Benamaurel	18
140109	Benamejí	14
290271	Benamocarra	29
110099	Benaocaz	11
290287	Benaoján	29
290290	Benarrabá	29
030226	Benasau	03
220540	Benasque	22
120265	Benassal	12
230161	Benatae	23
250539	Benavent de Segrià	25
490219	Benavente	49
240153	Benavides	24
460522	Benavites	46
