CCN	CODCNH	Nombre Centro	Cód. Provincia	Provincia	Cód. CCAA	CCAA	AD	Cod Concierto	Concierto	Forma parte Complejo	CODIDCOM	Nombre del Complejo	Es Comlejo	ALTA	TAC	RMN	GAM	HEM	ASD	LIT	BCO	ALI	SPECT	PET	MAMO	DO	DIAL
0123003108	230195	Hospital Puerta de Andalucía	23	Jaén	01	Andalucía	DC	DC	DC	S	230119	Hospital Universitario de Jaén	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001066	290287	Hospital Costa del Sol	29	Malaga	01	Andalucía	DC	DC	DC	S	290539	Hospital Costa del Sol	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001071	290038	Hospital Civil	29	Malaga	01	Andalucía	DC	DC	DC	S	290234	Hospital Universitario Regional de Málaga	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001079	290081	Hospital Vithas Parque San Antonio	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	1	2	1	1	0	0	0	0	0	0	1	1	0
0129001086	290348	Clínica El Seranil	29	Malaga	01	Andalucía	N	02	Concierto parcial	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0129001929	290393	Fundacion Cudeca. Centro de Cuidados Paliativos	29	Malaga	01	Andalucía	N	02	Concierto parcial	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0141000538	410074	Hospital Victoria Eugenia de La Cruz Roja Española	41	Sevilla	01	Andalucía	S	02	Concierto parcial	N			N	N	1	3	0	0	0	0	0	1	0	1	0	1	0
0141000540	410251	Hospital La Merced	41	Sevilla	01	Andalucía	DC	DC	DC	S	410507	Hospital La Merced	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141000541	410021	Hospital Universitario Virgen de Valme	41	Sevilla	01	Andalucía	DC	DC	DC	S	410303	Hospital Universitario Virgen de Valme	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141000554	410248	Hospital de Alta Resolución de Morón de La Frontera	41	Sevilla	01	Andalucía	DC	DC	DC	S	410303	Hospital Universitario Virgen de Valme	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141000649	410483	Ita Clinic Bcn	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0141000727	410135	Hospital Quironsalud Infanta Luisa	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	2	2	0	1	1	1	0	2	1	1	1	1	1
0141006854	410496	Adinfa, Sociedad Cooperativa Andaluza	41	Sevilla	01	Andalucía	N	031	Red de utilización pública (RUP)	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0141006465	410432	Clínica de Salud Mental Miguel de Mañara	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0129002973	290450	Hospital Vithas Xanit Estepona	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	0	0	0	0	0	0	0	1	0	0
0129000185	290494	Helicópteros Sanitarios Hospital	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	1	1	0	0	0	0	0	1	0	0
0141000553	410191	Clínica Nuestra Señora de Aránzazu	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0104000316	040010	Hospital Universitario Torrecardenas	04	Almería	01	Andalucía	DC	DC	DC	S	040097	Hospital Universitario Torrecárdenas	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0111000289	110327	Hospital Universitario Puerta del Mar	11	Cádiz	01	Andalucía	DC	DC	DC	S	110012	Hospital Universitario Puerta del Mar	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0111004473	110305	Hospital San Carlos de San Fernando	11	Cádiz	01	Andalucía	DC	DC	DC	S	110012	Hospital Universitario Puerta del Mar	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0114000530	140230	Hospital Universitario Reina Sofia	14	Córdoba	01	Andalucía	DC	DC	DC	S	140023	Hospital Universitario Reina Sofía	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0114000531	140060	Hospital Provincial	14	Córdoba	01	Andalucía	DC	DC	DC	S	140023	Hospital Universitario Reina Sofía	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0114000532	140039	Hospital Los Morales	14	Córdoba	01	Andalucía	DC	DC	DC	S	140023	Hospital Universitario Reina Sofía	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0118000556	180016	Hospital Universitario Virgen de Las Nieves	18	Granada	01	Andalucía	DC	DC	DC	S	180188	Hospital Universitario Virgen de Las Nieves	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0118000560	180166	Hospital Materno-Infantil del H.U. Virgen de Las Nieves	18	Granada	01	Andalucía	DC	DC	DC	S	180188	Hospital Universitario Virgen de Las Nieves	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0118004856	180042	Hospital de Neurotraumatologia y Rehabilitación del H.U. Virgen de Las Nieves	18	Granada	01	Andalucía	DC	DC	DC	S	180188	Hospital Universitario Virgen de Las Nieves	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0121000149	210031	Hospital Vázquez Diaz	21	Huelva	01	Andalucía	DC	DC	DC	S	210101	Hospital Universitario Juan Ramón Jiménez	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123000208	230011	Hospital Universitario de Jaén	23	Jaén	01	Andalucía	DC	DC	DC	S	230119	Hospital Universitario de Jaén	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123000210	230047	Hospital Neurotraumatologico del H.U. de Jaén	23	Jaén	01	Andalucía	DC	DC	DC	S	230119	Hospital Universitario de Jaén	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123000212	230151	Hospital Materno-Infantil del H.U. de Jaén	23	Jaén	01	Andalucía	DC	DC	DC	S	230119	Hospital Universitario de Jaén	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001068	290017	Hospital Universitario Regional de Málaga	29	Malaga	01	Andalucía	DC	DC	DC	S	290234	Hospital Universitario Regional de Málaga	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001070	290265	Hospital Materno Infantil del H.U.R. de Málaga	29	Malaga	01	Andalucía	DC	DC	DC	S	290234	Hospital Universitario Regional de Málaga	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001073	290022	Hospital Universitario Virgen de La Victoria	29	Malaga	01	Andalucía	DC	DC	DC	S	290252	Hospital Universitario Virgen de La Victoria	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001075	290213	Hospital Marítimo de Torremolinos	29	Malaga	01	Andalucía	DC	DC	DC	S	290252	Hospital Universitario Virgen de La Victoria	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129007432	290517	Hospital Valle de Guadalhorce de Cartama	29	Malaga	01	Andalucía	DC	DC	DC	S	290252	Hospital Universitario Virgen de La Victoria	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141000543	410227	Hospital El Tomillar	41	Sevilla	01	Andalucía	DC	DC	DC	S	410303	Hospital Universitario Virgen de Valme	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141000544	410042	Hospital Universitario Virgen Macarena	41	Sevilla	01	Andalucía	DC	DC	DC	S	410299	Hospital Universitario Virgen Macarena	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141000546	410055	Hospital San Lázaro	41	Sevilla	01	Andalucía	DC	DC	DC	S	410299	Hospital Universitario Virgen Macarena	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
	290234	Hospital Universitario Regional de Málaga	29	Malaga	01	Andalucía	S	01	Sin concierto	N			S	N	5	2	0	4	3	3	0	7	3	1	1	5	60
	290252	Hospital Universitario Virgen de La Victoria	29	Malaga	01	Andalucía	S	01	Sin concierto	N			S	N	7	2	0	2	4	4	0	6	2	1	4	1	6
	410286	Hospital Universitario Virgen del Rocío	41	Sevilla	01	Andalucía	S	01	Sin concierto	N			S	N	9	6	3	7	6	2	0	9	2	2	5	2	53
	410299	Hospital Universitario Virgen Macarena	41	Sevilla	01	Andalucía	S	01	Sin concierto	N			S	N	7	3	2	4	3	1	0	5	1	1	3	2	79
	410303	Hospital Universitario Virgen de Valme	41	Sevilla	01	Andalucía	S	01	Sin concierto	N			S	N	6	1	0	3	3	1	0	0	0	0	4	0	0
0141000547	410016	Hospital Universitario Virgen del Rocío	41	Sevilla	01	Andalucía	DC	DC	DC	S	410286	Hospital Universitario Virgen del Rocío	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141000550	410443	Hospital de Rehabilitación y Traumatología del H.U. Virgen del Rocío	41	Sevilla	01	Andalucía	DC	DC	DC	S	410286	Hospital Universitario Virgen del Rocío	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141000551	410465	Hospital Infantil	41	Sevilla	01	Andalucía	DC	DC	DC	S	410286	Hospital Universitario Virgen del Rocío	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141006842	410476	Hospital de La Mujer	41	Sevilla	01	Andalucía	DC	DC	DC	S	410286	Hospital Universitario Virgen del Rocío	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001088	290173	Hospital Quironsalud Marbella	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	1	1	0	0	0	0	0	1	1	23
0141000539	410107	Clínica Santa Isabel	41	Sevilla	01	Andalucía		01	Sin concierto	N			N	N	1	1	1	1	0	1	0	0	0	0	1	1	0
0111000297	110103	Clínica Los Álamos	11	Cádiz	01	Andalucía	N	01	Sin concierto	N			N	N	1	0	0	0	1	0	0	0	0	0	1	0	0
0111000290	110110	Hospital Universitario de Jerez de La Frontera	11	Cádiz	01	Andalucía	S	01	Sin concierto	N			N	N	4	2	0	3	1	0	0	2	0	0	1	1	23
0104000322	040101	Hospital Mediterráneo	04	Almería	01	Andalucía	N	02	Concierto parcial	N			N	N	1	2	0	1	0	0	0	0	0	0	1	0	0
0111000292	110048	Hospital Nuestra Sra. de La Salud Ha S.L.	11	Cádiz	01	Andalucía	N	01	Sin concierto	N			N	N	1	0	0	0	0	0	0	0	0	0	1	0	0
0129001081	290115	HM Málaga	29	Malaga	01	Andalucía	N	02	Concierto parcial	N			N	N	1	2	0	0	1	0	0	0	0	0	1	0	0
0129001084	290094	Hospital El Ángel	29	Malaga	01	Andalucía	S	01	Sin concierto	N			N	N	1	1	0	1	0	1	0	0	0	0	1	1	0
0104000320	040084	Hospital La Inmaculada	04	Almería	01	Andalucía	N	01	Sin concierto	N			N	N	2	1	0	0	0	0	0	0	0	1	1	0	0
0104001001	040127	Hospital de Alta Resolución El Toyo	04	Almería	01	Andalucía	DC	DC	DC	S	040097	Hospital Universitario Torrecárdenas	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0111004317	110316	Hospital de La Línea de La Concepción	11	Cádiz	01	Andalucía	S	01	Sin concierto	N			N	N	1	1	0	0	0	0	0	0	0	0	1	0	0
0118001566	180122	Hospital de Alta Resolución de Guadix	18	Granada	01	Andalucía	DC	DC	DC	S	180188	Hospital Universitario Virgen de Las Nieves	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0121000150	210097	Hospital de Riotinto	21	Huelva	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	0	0	0	0	0	0	0	1	0	0
0123000216	230145	Hospital Alto Guadalquivir	23	Jaén	01	Andalucía	N	01	Sin concierto	N			N	N	1	0	0	0	0	0	0	0	0	0	1	0	0
0123000736	230173	Hospital de Alta Resolución de Alcaudete	23	Jaén	01	Andalucía	DC	DC	DC	S	230119	Hospital Universitario de Jaén	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123002675	230184	Hospital de Alta Resolución de Alcalá La Real	23	Jaén	01	Andalucía	DC	DC	DC	S	230119	Hospital Universitario de Jaén	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0129001087	290154	Hospital de Antequera	29	Malaga	01	Andalucía	S	01	Sin concierto	N			N	N	2	1	0	0	0	3	0	0	0	0	2	0	0
0141001947	410386	Hospital de Alta Resolución de Utrera	41	Sevilla	01	Andalucía	DC	DC	DC	S	410303	Hospital Universitario Virgen de Valme	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0111000283	110162	Hospital General Santa Maria del Puerto	11	Cádiz	01	Andalucía		031	Red de utilización pública (RUP)	N			N	N	1	1	0	1	0	0	0	0	0	0	1	0	0
0111000284	110125	Hospital San Juan Grande	11	Cádiz	01	Andalucía	N	02	Concierto parcial	N			N	N	2	1	0	0	0	0	0	0	0	0	1	0	0
0111000293	110218	Hospital Virgen de Las Montañas	11	Cádiz	01	Andalucía		031	Red de utilización pública (RUP)	N			N	N	1	1	0	0	0	0	0	0	0	0	1	0	0
0111000294	110223	Hospital Virgen del Camino	11	Cádiz	01	Andalucía		031	Red de utilización pública (RUP)	N			N	N	1	1	0	0	0	0	0	0	0	0	1	0	0
0111000300	110260	Hospital Viamed Novo Sancti Petri	11	Cádiz	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	0	0	0	0	0	0	0	0	1	0	0
0111000285	110051	Hospital San Rafael	11	Cádiz	01	Andalucía		031	Red de utilización pública (RUP)	N			N	N	0	1	0	1	0	0	0	0	0	0	1	0	1
0111004486	110213	Hospital de Alta Resolución de Especialidades de La Janda	11	Cádiz	01	Andalucía	DC	DC	DC	S	110338	Hospital Universitario de Puerto Real	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0118000563	180055	Hospital San Rafael	18	Granada	01	Andalucía	N	02	Concierto parcial	N			N	N	0	1	0	0	0	0	0	0	0	0	0	0	0
0121001889	210148	Hospital Virgen de La Bella	21	Huelva	01	Andalucía		031	Red de utilización pública (RUP)	N			N	N	1	1	0	0	0	0	0	0	0	0	1	0	0
0129001080	290141	HM El Pilar	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0129001090	290069	Centro Asistencial San Juan de Dios	29	Malaga	01	Andalucía	N	02	Concierto parcial	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0129001091	290136	Hospital Psiquiátrico San Francisco de Asís	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0129001424	290461	Hospital Ochoa	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	2	2	0	0	0	0	0	0	0	0	1	1	0
0129003159	290472	Hospital Recoletas Marbella Slu	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	0	0	0	0	0	0	0	1	1	0
0141000552	410080	Hospital San Juan de Dios de Sevilla	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	2	1	0	0	0	0	0	0	0	0	2	0	0
0141000556	410212	Residencia de Salud Mental Nuestra Señora del Carmen	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0141002499	410409	Hospital Viamed Santa Angela de La Cruz	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	1	0	0	0	0	0	0	1	1	1
0141006243	410346	Hospital Psiquiátrico Penitenciario	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0111000411	110248	Hospital Viamed Bahía de Cádiz	11	Cádiz	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	0	0	0	0	0	0	0	0	1	1	0
0104000314	040059	Hospital Virgen del Mar	04	Almería	01	Andalucía	N	02	Concierto parcial	N			N	N	1	3	1	1	0	1	0	0	0	0	2	1	10
0104000321	040118	Hospital Universitario de Poniente	04	Almería	01	Andalucía	S	01	Sin concierto	N			N	N	2	2	0	0	0	0	0	0	0	0	1	0	23
0121000146	210025	Hospital Infanta Elena	21	Huelva	01	Andalucía	S	01	Sin concierto	N			N	N	3	1	0	0	0	2	0	0	0	0	1	0	0
0121001251	210137	Hospital Quironsalud Huelva	21	Huelva	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	0	1	0	0	0	0	0	0	1	1	0
0129001928	290405	Hospital Vithas Xanit Internacional	29	Malaga	01	Andalucía	N	02	Concierto parcial	N			N	N	1	2	1	1	1	0	0	1	0	0	1	1	4
0129007039	290506	Hospital de La Serranía	29	Malaga	01	Andalucía	S	01	Sin concierto	N			N	N	1	1	0	0	0	0	0	0	0	0	2	0	15
0141000537	410129	Hospital Fátima	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	1	1	1	0	0	0	0	1	1	1
0111002394	110282	Hospital Quirón Campo de Gibraltar	11	Cádiz	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	0	1	0	0	0	0	0	0	1	0	0
0114000537	140076	Hospital Cruz Roja de Córdoba	14	Córdoba	01	Andalucía	S	031	Red de utilización pública (RUP)	N			N	N	1	1	0	1	1	0	0	0	0	0	1	0	0
0114000873	140195	Hospital de Montilla	14	Córdoba	01	Andalucía	DC	DC	DC	S	140274	Hospital Infanta Margarita	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0114001599	140229	Hospital de Alta Resolución Valle del Guadiato	14	Córdoba	01	Andalucía	DC	DC	DC	S	140285	Hospital Valle de Los Pedroches	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0118000554	180093	Hospital de Baza	18	Granada	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	0	0	0	0	0	0	0	1	1	0
0118004203	180133	Hospital de Alta Resolución de Loja	18	Granada	01	Andalucía	DC	DC	DC	S	180177	Hospital Universitario Clínico San Cecilio	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123000215	230063	Clínica Cristo Rey	23	Jaén	01	Andalucía	N	02	Concierto parcial	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0129001082	290108	HM Gálvez	29	Malaga	01	Andalucía	N	02	Concierto parcial	N			N	N	1	0	0	0	0	0	0	0	0	0	0	0	0
0129001085	290075	Centro Asistencial Hnas. Hospitalarias del Sagrado Corazón de Jesús	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0141000534	410114	Hospital Quironsalud Sagrado Corazón	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	2	3	0	1	0	0	0	0	0	0	3	2	0
0141000536	410325	Fremap_Hospital y Centro de Rehabilitación de Sevilla	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	1	1	0	0	0	0	0	0	0	0	0	0	0
0141001379	410233	Hospital San Agustín	41	Sevilla	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0141006016	410454	Hospital de Alta Resolución de Lebrija	41	Sevilla	01	Andalucía	DC	DC	DC	S	410303	Hospital Universitario Virgen de Valme	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0118004282	180146	Hospital Vithas Granada	18	Granada	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	2	1	0	1	0	0	1	0	1	1	0
0114003668	140241	Hospital Quironsalud Córdoba	14	Córdoba	01	Andalucía	N	01	Sin concierto	N			N	N	1	2	1	1	1	0	0	0	1	0	1	1	0
0114000536	140082	Hospital San Juan de Dios de Córdoba	14	Córdoba	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	1	1	1	1	1	1	1	1	1	1	2
0129001083	290228	Hospital Internacional HM Santa Elena	29	Malaga	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	0	1	1	0	0	0	0	0	1	0	0
